incident_id,offense_id,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC,VICTIM_COUNT
2018616198,2018616198239901,2399,1,theft-bicycle,larceny,9/8/2018 4:58:00 PM,,9/8/2018 4:58:00 PM,W COLFAX AVE / N PERRY ST,3129550,1694878,-105.0393279,39.7403425,1,121,west-colfax,1,0,1
20196011868,20196011868239900,2399,1,theft-bicycle,larceny,11/13/2019 3:40:00 PM,11/13/2019 4:40:00 PM,11/27/2019 3:15:00 AM,600 17TH ST,3143153,1696704,-104.990921,39.7451559,6,611,cbd,1,0,1
20186003066,20186003066299900,2999,1,criminal-mischief-mtr-veh,public-disorder,3/30/2018 5:00:00 PM,4/1/2018 8:00:00 PM,4/3/2018 5:46:00 PM,500 BLK N MILWAUKEE ST,3154148,1689330,-104.9519799,39.7247373,3,311,cherry-creek,1,0,1
2018191445,2018191445230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,3/21/2018 4:30:00 PM,3/22/2018 6:30:00 AM,3/22/2018 10:03:00 AM,1200 BLK N ROSLYN ST,3168525,1693826,-104.9007634,39.7368304,2,223,east-colfax,1,0,1
20226013834,20226013834230800,2308,0,theft-from-bldg,larceny,7/19/2022 6:00:00 PM,7/21/2022 7:00:00 PM,7/22/2022 10:37:00 AM,2101 MARKET ST,3142826,1700311,-104.9920122,39.7550628,6,612,five-points,1,0,1
20216003406,20216003406299900,2999,1,criminal-mischief-mtr-veh,public-disorder,2/5/2021 10:00:00 PM,2/6/2021 8:00:00 AM,2/7/2021 8:58:00 AM,2200 BLK S MEADE ST,3130570,1671502,-105.0361254,39.676156,4,421,harvey-park,1,0,1
2017407168,2017407168131302,1313,2,assault-dv,other-crimes-against-persons,6/21/2017 10:21:00 PM,,6/21/2017 10:21:00 PM,1650 N SPRUCE ST,3169500,1696064,-104.8972438,39.7429564,2,223,east-colfax,1,0,1
2017480784,2017480784131300,1313,0,assault-simple,other-crimes-against-persons,7/20/2017 11:50:00 PM,,7/21/2017 2:08:00 AM,4300 BLOCK N LIPAN ST,3140101,1707798,-105.0015579,39.7756572,1,112,sunnyside,1,0,3
2021691458,2021691458131302,1313,2,assault-dv,other-crimes-against-persons,12/8/2021 11:13:00 PM,,12/8/2021 11:13:00 PM,W 14TH AVE / N JAVA CT,3132035,1694215,-105.0305038,39.7384875,1,122,west-colfax,1,0,1
2022301107,2022301107131600,1316,0,threats-to-injure,public-disorder,6/14/2022 2:45:00 PM,,6/14/2022 4:39:00 PM,1205 N FEDERAL BLVD,3133440,1692922,-105.0255319,39.734918,1,122,villa-park,1,0,1
2017841899,2017841899299900,2999,0,criminal-mischief-other,public-disorder,12/17/2017 9:30:00 PM,,12/17/2017 11:43:00 PM,2890 S WILLIAMS ST,3150285,1667386,-104.9661715,39.6645594,3,313,university,1,0,1
20176002841,20176002841230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,3/31/2017 12:00:00 AM,3/31/2017 7:00:00 AM,3/31/2017 9:18:00 AM,710 S WOLFF ST,3127151,1681628,-105.0480929,39.7040016,4,412,westwood,1,0,1
2021456398,2021456398220200,2202,0,burglary-residence-by-force,burglary,8/9/2021 5:00:00 PM,8/10/2021 8:00:00 AM,8/10/2021 1:49:00 PM,1505 S HAZEL CT,3132940,1676280,-105.0276174,39.6892393,4,421,mar-lee,1,0,1
20196011663,20196011663239900,2399,1,theft-bicycle,larceny,11/8/2019 9:00:00 PM,11/16/2019 9:00:00 PM,11/20/2019 9:29:00 PM,444 E 19TH AVE,3145794,1697031,-104.9815227,39.7460126,6,621,north-capitol-hill,1,0,1
2020338379,2020338379131300,1313,0,assault-simple,other-crimes-against-persons,6/1/2020 9:23:00 AM,,6/1/2020 10:09:00 AM,2903 S VRAIN ST,3127399,1666465,-105.0474799,39.6623721,4,423,harvey-park-south,1,0,1
2021300157,2021300157530903,5309,3,harassment-sexual-in-nature,public-disorder,1/1/2021 12:00:00 AM,5/17/2021 12:00:00 PM,5/27/2021 7:03:00 PM,,NA,NA,NA,NA,2,211,five-points,1,0,1
2021598411,2021598411260700,2607,0,fraud-by-telephone,white-collar-crime,10/15/2021 7:50:00 PM,,10/19/2021 2:43:00 PM,4351 S TAMARAC ST,3170370,1657712,-104.8950583,39.6376562,3,324,hampden-south,1,0,1
